Filename,Nodes,Edges,Density,Clustering_Coefficient,Sigma,PR_1_Node,PR_1_Score,PR_2_Node,PR_2_Score,PR_2_to_PR_1_Ratio(%),PR_3_Node,PR_3_Score,PR_3_to_PR_1_Ratio(%)
LFR_community_1.txt,1159,556,0.000414,0.001154,0.8401,224,0.021192,626,0.011987,56.6%,249,0.009846,46.5%
LFR_community_2.txt,1082,1230,0.001052,0.000000,0.0000,13,0.010002,801,0.008671,86.7%,596,0.007547,75.5%
LFR_community_3.txt,960,2246,0.002440,0.001598,0.6658,161,0.016385,441,0.012984,79.2%,197,0.007236,44.2%
LFR_community_4.txt,694,238,0.000495,0.000000,0.0000,270,0.079350,350,0.038734,48.8%,141,0.024118,30.4%
LFR_community_5.txt,283,10,0.000125,0.000000,0.0000,2,0.019565,4,0.019565,100.0%,7,0.019565,100.0%
LFR_community_6.txt,224,130,0.002602,0.000000,0.0000,127,0.127195,66,0.031624,24.9%,52,0.029680,23.3%
LFR_community_7.txt,198,184,0.004717,0.000000,0.0000,164,0.084888,123,0.043675,51.4%,27,0.032003,37.7%
LFR_community_8.txt,141,28,0.001418,0.000000,0.0000,22,0.187406,21,0.028777,15.4%,101,0.028777,15.4%
LFR_community_9.txt,131,37,0.002173,0.000000,0.0000,63,0.062806,77,0.043715,69.6%,35,0.040210,64.0%
LFR_community_10.txt,128,44,0.002707,0.000000,0.0000,52,0.134958,48,0.065270,48.4%,7,0.040976,30.4%
