Filename,Nodes,Edges,Density,Clustering_Coefficient,Sigma,PR_1_Node,PR_1_Score,PR_2_Node,PR_2_Score,PR_2_to_PR_1_Ratio(%),PR_3_Node,PR_3_Score,PR_3_to_PR_1_Ratio(%)
community_0.txt,179,2797,0.087785,0.376912,3.7390,14454247,0.046376,23053505,0.040384,87.1%,18218654,0.019205,41.4%
community_1.txt,238,4232,0.075027,0.527078,4.3927,14389031,0.021294,10202,0.016232,76.2%,15131310,0.015716,73.8%
community_2.txt,97,2009,0.215743,0.527765,1.6330,18776605,0.044744,22412376,0.036111,80.7%,19388771,0.033579,75.0%
community_3.txt,450,17247,0.085360,0.526073,3.7210,27696993,0.011513,20778387,0.010289,89.4%,37291805,0.010040,87.2%
community_4.txt,308,2982,0.031537,0.444176,7.8336,122216533,0.023496,53144764,0.023127,98.4%,21024748,0.020565,87.5%
community_5.txt,74,908,0.168086,0.579846,1.3007,319459265,0.065330,15150826,0.029294,44.8%,107237609,0.026413,40.4%
community_6.txt,1587,62992,0.025027,0.475494,11.4065,48485771,0.005755,15853668,0.005751,99.9%,19040580,0.005598,97.3%
community_7.txt,175,7526,0.247159,0.531411,1.4007,31127446,0.021666,17134268,0.020375,94.0%,24362769,0.017324,80.0%
community_8.txt,96,1635,0.179276,0.561187,2.0913,120178497,0.038008,51999405,0.032743,86.1%,140741639,0.032187,84.7%
community_9.txt,257,8763,0.133192,0.490341,2.1466,428333,0.023303,71294756,0.023096,99.1%,759251,0.018230,78.2%
community_10.txt,99,1441,0.148526,0.669987,3.4247,134735765,0.046022,17454341,0.040542,88.1%,18611950,0.038410,83.5%
community_11.txt,128,1921,0.118172,0.460234,2.1743,48459607,0.035028,23440052,0.026982,77.0%,116757352,0.023964,68.4%
community_12.txt,255,6240,0.096341,0.507270,3.0005,15924858,0.031421,47787563,0.027483,87.5%,47785747,0.020375,64.8%
community_13.txt,1701,62123,0.021483,0.413746,12.2277,40981798,0.012981,21111883,0.007824,60.3%,14230524,0.007799,60.1%
community_14.txt,326,8765,0.082728,0.607625,4.1632,14685759,0.011594,22275457,0.010567,91.1%,43366650,0.010025,86.5%
community_15.txt,673,20474,0.045271,0.477874,6.5654,36735522,0.008336,9212052,0.007716,92.6%,2779821,0.007127,85.5%
community_16.txt,199,4185,0.106213,0.483343,3.3842,25520396,0.026012,305085584,0.025630,98.5%,16089734,0.023346,89.7%
community_17.txt,330,7526,0.069319,0.454526,4.2803,19224439,0.016502,14224719,0.013901,84.2%,8170292,0.011398,69.1%
community_18.txt,68,1470,0.322651,0.619874,1.3168,21663950,0.040025,28609947,0.039101,97.7%,16908562,0.034934,87.3%
community_19.txt,89,441,0.056307,0.485612,9.9780,21891867,0.125397,6398252,0.035516,28.3%,48935222,0.034992,27.9%
community_20.txt,2425,52369,0.008909,0.415247,31.2060,115485051,0.030367,116485573,0.026100,85.9%,813286,0.007632,25.1%
community_21.txt,179,3441,0.107997,0.475735,3.4774,26785513,0.025147,29535333,0.023595,93.8%,15245975,0.021914,87.1%
community_22.txt,141,1269,0.064286,0.443829,5.1385,355009696,0.034138,133651512,0.032004,93.7%,20461916,0.026622,78.0%
community_23.txt,182,6361,0.193097,0.455541,1.5346,7517222,0.021442,15290441,0.020382,95.1%,44527648,0.016641,77.6%
community_24.txt,115,1490,0.113654,0.517692,2.6612,5380672,0.036093,17681513,0.029521,81.8%,19960690,0.022589,62.6%
community_25.txt,630,18359,0.046330,0.524218,7.2309,14505838,0.015524,30313925,0.014010,90.2%,16669075,0.013146,84.7%
community_26.txt,158,4949,0.199508,0.572379,1.8953,20437286,0.030046,116324294,0.021509,71.6%,44873497,0.021069,70.1%
community_27.txt,74,846,0.156609,0.552207,2.1413,64396233,0.054146,32127835,0.041794,77.2%,18458348,0.038416,70.9%
community_28.txt,88,842,0.109979,0.451318,3.6102,229144775,0.053425,159862441,0.036042,67.5%,285148979,0.026558,49.7%
community_29.txt,107,2272,0.200317,0.607046,2.0817,2691,0.045100,2803191,0.033620,74.5%,14296723,0.024304,53.9%
community_30.txt,470,9401,0.042648,0.486664,5.9607,51263592,0.015500,32135704,0.010669,68.8%,34104616,0.009935,64.1%
community_31.txt,29,370,0.455665,0.677752,1.1158,16721886,0.117036,16331259,0.054275,46.4%,15635413,0.051243,43.8%
community_32.txt,553,6309,0.020668,0.514655,12.6212,286328448,0.036841,441105493,0.014697,39.9%,308998490,0.011627,31.6%
community_33.txt,181,2599,0.079773,0.505957,4.4424,18741363,0.037107,16278375,0.035155,94.7%,9856232,0.032830,88.5%
community_34.txt,194,5971,0.159473,0.481092,1.8343,16708690,0.020485,41778159,0.018242,89.1%,54923609,0.014606,71.3%
community_35.txt,173,1855,0.062340,0.337599,3.8641,106624194,0.026871,124967126,0.026415,98.3%,128158071,0.022863,85.1%
community_36.txt,202,4748,0.116940,0.492105,2.8340,18194219,0.026041,322233489,0.017160,65.9%,174860999,0.015432,59.3%
community_37.txt,1419,30335,0.015076,0.464125,19.3669,657863,0.006761,50393960,0.006734,99.6%,972651,0.006549,96.9%
community_38.txt,82,391,0.058868,0.540166,10.1289,14239638,0.219524,34735227,0.044269,20.2%,6610442,0.034175,15.6%
community_39.txt,165,2932,0.108352,0.544225,3.7659,40703590,0.032896,129631184,0.027989,85.1%,123121569,0.015702,47.7%
community_40.txt,2171,84884,0.018018,0.424690,15.4041,24585498,0.006259,15913,0.006024,96.2%,9451052,0.005022,80.2%
community_41.txt,869,27978,0.037092,0.458732,7.2102,11348282,0.029854,17217640,0.013569,45.5%,23959074,0.012635,42.3%
community_42.txt,886,23431,0.029882,0.518458,10.0038,783214,0.010974,17093617,0.008359,76.2%,33423,0.008338,76.0%
community_43.txt,197,5118,0.132549,0.510986,3.2584,163877409,0.030542,494696880,0.017266,56.5%,375947005,0.012883,42.2%
community_44.txt,365,6640,0.049977,0.508849,5.4761,17241895,0.017972,16065736,0.015786,87.8%,8766122,0.011459,63.8%
community_45.txt,181,5494,0.168631,0.547213,2.0797,8471852,0.026540,14808009,0.023258,87.6%,22709659,0.021802,82.1%
community_47.txt,448,7740,0.038651,0.452336,6.5764,18269449,0.020204,42535805,0.018972,93.9%,14622632,0.018062,89.4%
