Seed,Ç†ÇËÇÃâ,Ç†ÇËÇÃâ2,Ç†ÇËÇÇ»Çµ,Ç»ÇµÇÃâ,Ç»ÇµÇÃâÇÉAÉä,Ç»ÇµÇÃâÇÉAÉä2,,Ç†ÇËÇÃóDà ê´,äÑçá,,ç≈ëÂ,0.00%
0,47.938,40.552,77.453,77.453,47.938,40.552,,,,,,
0,63.56,30.153,85.134,85.134,63.56,30.153,,,,,,
0,73.609,25.78,91.305,91.305,73.609,25.78,,,,,,
0,77.802,23.966,93.854,94.502,76.501,25.329,,,,,,
1,20.375,92.667,55.056,55.056,20.375,92.667,,,,,,
1,31.724,82.382,66.791,66.791,31.724,82.382,,,,,,
1,40.558,74.527,73.076,73.8,39.742,74.446,,,,,,
1,45.564,70.209,76.757,78.979,47.436,68.045,,,,,,
2,30.72,71.308,69.992,69.992,30.72,71.308,,,,,,
2,46.266,57.608,78.956,78.562,45.585,57.493,,,,,,
2,55.328,50.138,84.601,84.803,55.49,49.298,,,,,,
2,62.943,45.139,90.716,90.716,62.943,45.139,,,,,,
3,18.18,92.681,58.489,58.489,18.18,92.681,,,,,,
3,32.058,80.636,72.224,71,29.111,84.379,,,,,,
3,40.851,73.868,78.044,79.314,39.169,75.441,,,,,,
3,48.333,68.348,83.995,83.995,48.333,68.348,,,,,,
4,19.702,80.003,47.324,46.399,19.374,82.268,,,,,,
4,30.636,69.648,58.55,58.607,31.616,68.718,,,,,,
4,40.279,59.496,64.686,65.273,40.729,60.197,,,,,,
4,47.564,53.177,69.759,70.678,46.632,54.874,,,,,,
5,53.18,34.233,77.78,78.929,52.702,33.62,,,,,,
5,66.512,23.681,86.011,86.011,66.512,23.681,,,,,,
5,75.996,18.257,90.596,91.982,74.93,20.014,,,,,,
5,81.608,17.871,96.999,95.939,80.256,17.839,,,,,,
6,24.71,84.83,78.528,78.822,22.392,87.052,,,,,,
6,38.518,73.431,86.44,85.383,35.092,76.407,,,,,,
6,48.859,65.106,91.385,90.532,47.453,66.633,,,,,,
6,55.333,61.524,95.541,95.511,54.639,62.761,,,,,,
7,31.137,66.847,67.67,70.182,32.792,65.069,,,,,,
7,49.692,53.13,80.458,80.636,48.199,53.506,,,,,,
7,59.871,45.449,86.709,87.602,60.378,45.884,,,,,,
7,68.304,40.342,92.498,92.498,68.304,40.342,,,,,,
8,41.695,51.349,74.251,75.327,43.428,50.017,,,,,,
8,62.897,35.285,86.746,88.475,64.976,34.906,,,,,,
8,74.455,29.065,94.702,94.702,74.455,29.065,,,,,,
8,81.576,25.549,98.195,98.195,81.576,25.549,,,,,,
