Seed,Ç†ÇËÇÃâ,Ç†ÇËÇÃâ2,Ç†ÇËÇÇ»Çµ,Ç»ÇµÇÃâ,Ç»ÇµÇÃâÇÉAÉä,Ç»ÇµÇÃâÇÉAÉä2,,Ç†ÇËÇÃóDà ê´,äÑçá,,ç≈ëÂ,0.00%
0,75.889,12.505,87.759,90.144,75.448,16.226,,,,,,
0,94.543,8.456,102.177,107.468,95.5,13.628,,,,,,
0,107.197,7.369,113.794,116.541,108.684,9.279,,,,,,
0,116.363,6.215,121.59,122.981,115.907,8.209,,,,,,
1,75.381,7.864,79.464,79.78,75.228,8.894,,,,,,
1,101.23,4.909,104.499,104.308,101.159,4.887,,,,,,
1,115.847,3.719,118.534,118.055,115.27,4.202,,,,,,
1,125.575,2.944,127.471,126.499,124.438,3.273,,,,,,
2,82.789,8.528,90.399,90.134,81.791,9.502,,,,,,
2,99.516,4.982,103.703,104.875,100.177,5.012,,,,,,
2,112.964,4.575,116.956,116.422,112.522,4.476,,,,,,
2,121.741,2.962,124.205,124.43,121.858,3.197,,,,,,
3,69.678,25.947,85.806,83.85,58.46,40.082,,,,,,
3,93.936,20.099,108.149,104.234,85.467,26.731,,,,,,
3,109.714,12.275,119.043,117.443,106.411,15.719,,,,,,
3,118.923,9.602,126.29,126.451,118.468,10.451,,,,,,
4,62.161,20.125,73.472,75.547,65.643,21.627,,,,,,
4,87.452,13.114,95.169,98.479,89.302,16.007,,,,,,
4,102.544,10.149,109.23,111.983,104.181,11.935,,,,,,
4,111.328,6.985,115.871,120.742,114.295,8.824,,,,,,
5,81.634,17.385,93.122,94.606,82.365,17.987,,,,,,
5,101.996,12.022,110.095,109.711,101.27,12.341,,,,,,
5,112.856,10.554,120.167,121.941,114.251,10.141,,,,,,
5,122.318,7.417,127.541,129.357,123.865,7.859,,,,,,
6,77.881,9.203,85.211,86.353,78.83,8.748,,,,,,
6,95.492,6.437,100.768,102.217,95.79,7.387,,,,,,
6,106.558,5.931,111.785,114.336,108.802,6.596,,,,,,
6,116.945,4.667,120.816,122.275,117.613,5.634,,,,,,
7,70.429,21.74,87.442,87.07,61.353,30.999,,,,,,
7,91.784,16.26,105.86,101.935,82.812,21.839,,,,,,
7,102.622,11.676,112.353,113.574,96.136,19.364,,,,,,
7,110.636,10.456,119.039,122.427,111.4,12.266,,,,,,
8,79.529,13.528,89.47,88.529,72.132,18.295,,,,,,
8,98.625,9.999,106.832,104.909,95.398,11.05,,,,,,
8,110.537,7.636,116.466,117.51,109.098,9.72,,,,,,
8,120.155,6.851,125.587,125.539,119.575,7.14,,,,,,
